date,day_of_week,expiry_type,chart,nifty_open,nifty_high,nifty_low,nifty_close,vix_open,vix_close,vix_predicted_move_pct,actual_range_pct,actual_open_close_pct,intraday_high_pct,intraday_low_pct,range_vs_vix_ratio,diff_pct,vix_accuracy
2020-07-02,Thursday,weekly,▁↑▁↑█↓▅ 📈,10493.05,10598.2,10485.55,10551.7,28.12,26.51,1.47,1.07,0.56,1.0,0.07,0.73,-0.4,Overestimated
2020-07-09,Thursday,weekly,▃↓▁↑█↓▆ 📈,10755.55,10836.85,10733.0,10813.45,26.1,24.91,1.37,0.97,0.54,0.76,0.21,0.71,-0.4,Overestimated
2020-07-16,Thursday,weekly,▆↓▁↑█↓▇ 📈,10706.2,10755.3,10595.2,10739.95,26.29,25.36,1.38,1.5,0.32,0.46,1.04,1.09,0.12,Overestimated
2020-07-23,Thursday,weekly,▃↓▁↑█↓▇ 📈,11135.0,11239.8,11103.15,11215.45,24.89,24.64,1.3,1.23,0.72,0.94,0.29,0.94,-0.08,Overestimated
2020-07-30,Thursday,monthly,▇↓▁↑█↓▂ 📉,11254.3,11299.95,11084.95,11102.15,24.11,24.73,1.26,1.91,1.35,0.41,1.5,1.51,0.65,Underestimated
2020-08-06,Thursday,weekly,▄↓▁↑█↓▅ 📈,11185.7,11256.8,11127.3,11200.15,23.57,23.15,1.23,1.16,0.13,0.64,0.52,0.94,-0.08,Overestimated
2020-08-13,Thursday,weekly,▆↓▁↑█↓▃ 📉,11334.85,11359.3,11269.95,11300.45,20.85,20.57,1.09,0.79,0.3,0.22,0.57,0.72,-0.3,Overestimated
2020-08-20,Thursday,weekly,▄↓▁↑█↓▃ 📉,11317.45,11361.45,11289.8,11312.2,19.96,20.62,1.05,0.63,0.05,0.39,0.24,0.61,-0.41,Overestimated
2020-08-27,Thursday,monthly,▇↓▁↑█↓▃ 📉,11609.3,11617.35,11540.6,11559.25,19.3,18.9,1.01,0.66,0.43,0.07,0.59,0.65,-0.35,Overestimated
2020-09-03,Thursday,weekly,▆↓▁↑█↓▃ 📉,11566.2,11584.95,11507.65,11527.45,21.11,20.5,1.11,0.67,0.34,0.16,0.51,0.6,-0.44,Overestimated
2020-09-10,Thursday,weekly,▃↓▁↑█↓▇ 📈,11363.3,11464.05,11327.4,11449.25,22.23,21.26,1.16,1.2,0.76,0.89,0.32,1.03,0.04,Overestimated
